,State Name,county Name,County Code,Date,AQI,Category,Defining Parameter,Number of Sites Reporting,Year,Month,Day,Month_Day,Five-Year Avg.
181,Alabama,Morgan,103,2020-01-08,23,Good,PM2.5,1,2020,1,8,01-08,34.22
182,Alabama,Morgan,103,2020-01-09,22,Good,PM2.5,1,2020,1,9,01-09,33.95918367346939
183,Alabama,Morgan,103,2020-01-10,28,Good,PM2.5,1,2020,1,10,01-10,34.94
184,Alabama,Morgan,103,2020-01-11,5,Good,PM2.5,1,2020,1,11,01-11,35.96
185,Alabama,Morgan,103,2020-01-12,11,Good,PM2.5,1,2020,1,12,01-12,34.94
186,Alabama,Morgan,103,2020-01-13,33,Good,PM2.5,1,2020,1,13,01-13,34.82
187,Alabama,Morgan,103,2020-01-14,9,Good,PM2.5,1,2020,1,14,01-14,38.06
188,Alabama,Morgan,103,2020-01-15,8,Good,PM2.5,1,2020,1,15,01-15,44.5
189,Alabama,Morgan,103,2020-01-16,20,Good,PM2.5,1,2020,1,16,01-16,41.3
190,Alabama,Morgan,103,2020-01-17,10,Good,PM2.5,1,2020,1,17,01-17,38.7
191,Alabama,Morgan,103,2020-01-18,20,Good,PM2.5,1,2020,1,18,01-18,37.92
192,Alabama,Morgan,103,2020-01-19,10,Good,PM2.5,1,2020,1,19,01-19,36.66
193,Alabama,Morgan,103,2020-01-20,27,Good,PM2.5,1,2020,1,20,01-20,37.26
194,Alabama,Morgan,103,2020-01-21,27,Good,PM2.5,1,2020,1,21,01-21,39.76
195,Alabama,Morgan,103,2020-01-22,28,Good,PM2.5,1,2020,1,22,01-22,36.24
196,Alabama,Morgan,103,2020-01-23,21,Good,PM2.5,1,2020,1,23,01-23,34.2
197,Alabama,Morgan,103,2020-01-24,8,Good,PM2.5,1,2020,1,24,01-24,36.08
198,Alabama,Morgan,103,2020-01-25,19,Good,PM2.5,1,2020,1,25,01-25,36.16
199,Alabama,Morgan,103,2020-01-26,20,Good,PM2.5,1,2020,1,26,01-26,36.0
200,Alabama,Morgan,103,2020-01-27,23,Good,PM2.5,1,2020,1,27,01-27,35.98
201,Alabama,Morgan,103,2020-01-28,25,Good,PM2.5,1,2020,1,28,01-28,37.18
202,Alabama,Morgan,103,2020-01-29,27,Good,PM2.5,1,2020,1,29,01-29,38.26
203,Alabama,Morgan,103,2020-01-30,28,Good,PM2.5,1,2020,1,30,01-30,35.83673469387755
204,Alabama,Morgan,103,2020-01-31,37,Good,PM2.5,1,2020,1,31,01-31,36.224489795918366
205,Alabama,Russell,113,2020-01-01,57,Moderate,PM2.5,1,2020,1,1,01-01,29.91549295774648
206,Alabama,Russell,113,2020-01-02,30,Good,PM2.5,1,2020,1,2,01-02,31.985294117647058
207,Alabama,Russell,113,2020-01-03,22,Good,PM2.5,1,2020,1,3,01-03,30.13235294117647
208,Alabama,Russell,113,2020-01-04,13,Good,PM2.5,1,2020,1,4,01-04,30.363636363636363
